full-supervised.py --data cornell --layer 16 --lamda 1 --weight_decay 1e-3 --model GCNII --variant
Epoch:0001 train loss:1.609 acc:6.90 | val loss:1.577 acc:30.51
Epoch:0002 train loss:1.581 acc:29.89 | val loss:1.551 acc:54.24
Epoch:0003 train loss:1.554 acc:56.32 | val loss:1.518 acc:54.24
Epoch:0004 train loss:1.513 acc:56.32 | val loss:1.479 acc:54.24
Epoch:0005 train loss:1.471 acc:56.32 | val loss:1.435 acc:54.24
Epoch:0006 train loss:1.424 acc:56.32 | val loss:1.388 acc:54.24
Epoch:0007 train loss:1.368 acc:56.32 | val loss:1.343 acc:54.24
Epoch:0008 train loss:1.304 acc:56.32 | val loss:1.306 acc:54.24
Epoch:0009 train loss:1.270 acc:56.32 | val loss:1.284 acc:54.24
Epoch:0010 train loss:1.206 acc:56.32 | val loss:1.284 acc:54.24
Epoch:0011 train loss:1.238 acc:56.32 | val loss:1.299 acc:54.24
Epoch:0012 train loss:1.190 acc:56.32 | val loss:1.312 acc:54.24
Epoch:0013 train loss:1.223 acc:56.32 | val loss:1.310 acc:54.24
Epoch:0014 train loss:1.215 acc:56.32 | val loss:1.293 acc:54.24
Epoch:0015 train loss:1.177 acc:56.32 | val loss:1.273 acc:54.24
Epoch:0016 train loss:1.162 acc:56.32 | val loss:1.256 acc:54.24
Epoch:0017 train loss:1.184 acc:56.32 | val loss:1.242 acc:54.24
Epoch:0018 train loss:1.159 acc:56.32 | val loss:1.233 acc:54.24
Epoch:0019 train loss:1.181 acc:56.32 | val loss:1.228 acc:54.24
Epoch:0020 train loss:1.131 acc:56.32 | val loss:1.225 acc:54.24
Epoch:0021 train loss:1.115 acc:56.32 | val loss:1.224 acc:54.24
Epoch:0022 train loss:1.146 acc:56.32 | val loss:1.222 acc:54.24
Epoch:0023 train loss:1.136 acc:56.32 | val loss:1.220 acc:54.24
Epoch:0024 train loss:1.125 acc:56.32 | val loss:1.218 acc:54.24
Epoch:0025 train loss:1.111 acc:56.32 | val loss:1.216 acc:54.24
Epoch:0026 train loss:1.129 acc:56.32 | val loss:1.215 acc:54.24
Epoch:0027 train loss:1.132 acc:56.32 | val loss:1.216 acc:54.24
Epoch:0028 train loss:1.120 acc:56.32 | val loss:1.217 acc:54.24
Epoch:0029 train loss:1.097 acc:56.32 | val loss:1.218 acc:54.24
Epoch:0030 train loss:1.119 acc:56.32 | val loss:1.219 acc:54.24
Epoch:0031 train loss:1.117 acc:56.32 | val loss:1.218 acc:54.24
Epoch:0032 train loss:1.102 acc:56.32 | val loss:1.217 acc:54.24
Epoch:0033 train loss:1.118 acc:56.32 | val loss:1.214 acc:54.24
Epoch:0034 train loss:1.127 acc:56.32 | val loss:1.207 acc:54.24
Epoch:0035 train loss:1.120 acc:56.32 | val loss:1.201 acc:54.24
Epoch:0036 train loss:1.107 acc:56.32 | val loss:1.196 acc:54.24
Epoch:0037 train loss:1.101 acc:56.32 | val loss:1.190 acc:54.24
Epoch:0038 train loss:1.081 acc:56.32 | val loss:1.186 acc:54.24
Epoch:0039 train loss:1.081 acc:56.32 | val loss:1.182 acc:54.24
Epoch:0040 train loss:1.099 acc:56.32 | val loss:1.180 acc:54.24
Epoch:0041 train loss:1.082 acc:56.32 | val loss:1.179 acc:54.24
Epoch:0042 train loss:1.067 acc:56.32 | val loss:1.178 acc:54.24
Epoch:0043 train loss:1.077 acc:56.32 | val loss:1.179 acc:54.24
Epoch:0044 train loss:1.064 acc:56.32 | val loss:1.180 acc:54.24
Epoch:0045 train loss:1.059 acc:56.32 | val loss:1.181 acc:54.24
Epoch:0046 train loss:1.069 acc:56.32 | val loss:1.182 acc:54.24
Epoch:0047 train loss:1.030 acc:57.47 | val loss:1.181 acc:54.24
Epoch:0048 train loss:1.017 acc:56.32 | val loss:1.179 acc:54.24
Epoch:0049 train loss:1.009 acc:58.62 | val loss:1.174 acc:54.24
Epoch:0050 train loss:1.043 acc:56.32 | val loss:1.165 acc:54.24
Epoch:0051 train loss:1.020 acc:56.32 | val loss:1.156 acc:54.24
Epoch:0052 train loss:1.017 acc:56.32 | val loss:1.147 acc:54.24
Epoch:0053 train loss:1.007 acc:57.47 | val loss:1.140 acc:54.24
Epoch:0054 train loss:0.989 acc:57.47 | val loss:1.134 acc:54.24
Epoch:0055 train loss:0.987 acc:58.62 | val loss:1.130 acc:54.24
Epoch:0056 train loss:0.961 acc:58.62 | val loss:1.128 acc:54.24
Epoch:0057 train loss:0.947 acc:62.07 | val loss:1.129 acc:54.24
Epoch:0058 train loss:0.913 acc:59.77 | val loss:1.130 acc:52.54
Epoch:0059 train loss:0.978 acc:57.47 | val loss:1.123 acc:52.54
Epoch:0060 train loss:0.932 acc:58.62 | val loss:1.114 acc:54.24
Epoch:0061 train loss:0.919 acc:60.92 | val loss:1.103 acc:55.93
Epoch:0062 train loss:0.876 acc:65.52 | val loss:1.089 acc:57.63
Epoch:0063 train loss:0.903 acc:64.37 | val loss:1.072 acc:57.63
Epoch:0064 train loss:0.884 acc:63.22 | val loss:1.059 acc:59.32
Epoch:0065 train loss:0.886 acc:67.82 | val loss:1.045 acc:64.41
Epoch:0066 train loss:0.869 acc:66.67 | val loss:1.037 acc:66.10
Epoch:0067 train loss:0.883 acc:64.37 | val loss:1.034 acc:66.10
Epoch:0068 train loss:0.799 acc:72.41 | val loss:1.033 acc:64.41
Epoch:0069 train loss:0.824 acc:66.67 | val loss:1.025 acc:66.10
Epoch:0070 train loss:0.815 acc:64.37 | val loss:1.013 acc:66.10
Epoch:0071 train loss:0.825 acc:70.11 | val loss:1.002 acc:66.10
