full-supervised.py --data pubmed --layer 64 --alpha 0.1 --weight_decay 5e-6 --model GCNII --variant
Epoch:0001 train loss:1.119 acc:20.67 | val loss:1.108 acc:20.86
Epoch:0002 train loss:1.108 acc:21.71 | val loss:1.099 acc:33.76
Epoch:0003 train loss:1.099 acc:33.28 | val loss:1.090 acc:39.65
Epoch:0004 train loss:1.089 acc:40.42 | val loss:1.078 acc:39.65
Epoch:0005 train loss:1.079 acc:41.75 | val loss:1.066 acc:39.65
Epoch:0006 train loss:1.067 acc:42.77 | val loss:1.053 acc:39.68
Epoch:0007 train loss:1.054 acc:44.45 | val loss:1.042 acc:40.17
Epoch:0008 train loss:1.043 acc:46.07 | val loss:1.032 acc:42.69
Epoch:0009 train loss:1.037 acc:47.03 | val loss:1.024 acc:58.16
Epoch:0010 train loss:1.028 acc:50.41 | val loss:1.016 acc:63.71
Epoch:0011 train loss:1.022 acc:52.59 | val loss:1.007 acc:62.82
Epoch:0012 train loss:1.012 acc:52.97 | val loss:0.995 acc:62.20
Epoch:0013 train loss:1.005 acc:54.57 | val loss:0.981 acc:63.11
Epoch:0014 train loss:0.989 acc:55.08 | val loss:0.966 acc:64.07
Epoch:0015 train loss:0.974 acc:57.50 | val loss:0.950 acc:64.58
Epoch:0016 train loss:0.962 acc:57.50 | val loss:0.933 acc:64.66
Epoch:0017 train loss:0.944 acc:58.51 | val loss:0.915 acc:64.83
Epoch:0018 train loss:0.928 acc:59.07 | val loss:0.895 acc:64.87
Epoch:0019 train loss:0.908 acc:60.70 | val loss:0.874 acc:64.69
Epoch:0020 train loss:0.888 acc:62.67 | val loss:0.851 acc:64.66
Epoch:0021 train loss:0.869 acc:63.01 | val loss:0.828 acc:65.13
Epoch:0022 train loss:0.852 acc:62.94 | val loss:0.805 acc:65.83
Epoch:0023 train loss:0.831 acc:64.00 | val loss:0.780 acc:66.91
Epoch:0024 train loss:0.809 acc:64.22 | val loss:0.756 acc:68.26
Epoch:0025 train loss:0.788 acc:65.75 | val loss:0.731 acc:70.30
Epoch:0026 train loss:0.771 acc:66.50 | val loss:0.706 acc:73.01
Epoch:0027 train loss:0.743 acc:68.14 | val loss:0.681 acc:75.04
Epoch:0028 train loss:0.723 acc:69.83 | val loss:0.656 acc:76.96
