full-supervised.py --data wisconsin --layer 5 --weight_decay 6e-4 --model GGCN --hidden 16 --dropout 0
Epoch:0113 train loss:0.024 acc:100.00 | val loss:0.539 acc:83.75
Epoch:0114 train loss:0.024 acc:100.00 | val loss:0.539 acc:83.75
Epoch:0115 train loss:0.024 acc:100.00 | val loss:0.539 acc:83.75
Epoch:0116 train loss:0.023 acc:100.00 | val loss:0.540 acc:83.75
Epoch:0117 train loss:0.023 acc:100.00 | val loss:0.540 acc:83.75
Epoch:0118 train loss:0.023 acc:100.00 | val loss:0.540 acc:83.75
Epoch:0119 train loss:0.022 acc:100.00 | val loss:0.540 acc:83.75
Epoch:0120 train loss:0.022 acc:100.00 | val loss:0.540 acc:83.75
Epoch:0121 train loss:0.022 acc:100.00 | val loss:0.540 acc:83.75
Epoch:0122 train loss:0.022 acc:100.00 | val loss:0.541 acc:83.75
Epoch:0123 train loss:0.021 acc:100.00 | val loss:0.541 acc:83.75
Epoch:0124 train loss:0.021 acc:100.00 | val loss:0.541 acc:83.75
Epoch:0125 train loss:0.021 acc:100.00 | val loss:0.541 acc:83.75
Epoch:0126 train loss:0.021 acc:100.00 | val loss:0.541 acc:83.75
Epoch:0127 train loss:0.020 acc:100.00 | val loss:0.541 acc:83.75
Epoch:0128 train loss:0.020 acc:100.00 | val loss:0.540 acc:83.75
Epoch:0129 train loss:0.020 acc:100.00 | val loss:0.540 acc:83.75
Epoch:0130 train loss:0.020 acc:100.00 | val loss:0.540 acc:83.75
Epoch:0131 train loss:0.020 acc:100.00 | val loss:0.540 acc:83.75
Epoch:0132 train loss:0.019 acc:100.00 | val loss:0.540 acc:83.75
Epoch:0133 train loss:0.019 acc:100.00 | val loss:0.540 acc:83.75
Epoch:0134 train loss:0.019 acc:100.00 | val loss:0.540 acc:83.75
Epoch:0135 train loss:0.019 acc:100.00 | val loss:0.539 acc:83.75
Epoch:0136 train loss:0.019 acc:100.00 | val loss:0.539 acc:83.75
Epoch:0137 train loss:0.018 acc:100.00 | val loss:0.539 acc:83.75
Epoch:0138 train loss:0.018 acc:100.00 | val loss:0.539 acc:83.75
Epoch:0139 train loss:0.018 acc:100.00 | val loss:0.538 acc:83.75
Epoch:0140 train loss:0.018 acc:100.00 | val loss:0.538 acc:83.75
Epoch:0141 train loss:0.018 acc:100.00 | val loss:0.538 acc:83.75
Epoch:0142 train loss:0.018 acc:100.00 | val loss:0.538 acc:83.75
Epoch:0143 train loss:0.017 acc:100.00 | val loss:0.538 acc:83.75
Epoch:0144 train loss:0.017 acc:100.00 | val loss:0.537 acc:83.75
Epoch:0145 train loss:0.017 acc:100.00 | val loss:0.537 acc:83.75
Epoch:0146 train loss:0.017 acc:100.00 | val loss:0.537 acc:83.75
Epoch:0147 train loss:0.017 acc:100.00 | val loss:0.537 acc:83.75
Epoch:0148 train loss:0.017 acc:100.00 | val loss:0.536 acc:83.75
Epoch:0149 train loss:0.017 acc:100.00 | val loss:0.536 acc:83.75
Epoch:0150 train loss:0.016 acc:100.00 | val loss:0.536 acc:83.75
Epoch:0151 train loss:0.016 acc:100.00 | val loss:0.536 acc:83.75
Epoch:0152 train loss:0.016 acc:100.00 | val loss:0.536 acc:83.75
Epoch:0153 train loss:0.016 acc:100.00 | val loss:0.535 acc:83.75
Epoch:0154 train loss:0.016 acc:100.00 | val loss:0.535 acc:83.75
Epoch:0155 train loss:0.016 acc:100.00 | val loss:0.535 acc:83.75
Epoch:0156 train loss:0.016 acc:100.00 | val loss:0.535 acc:83.75
Epoch:0157 train loss:0.016 acc:100.00 | val loss:0.535 acc:83.75
Epoch:0158 train loss:0.016 acc:100.00 | val loss:0.535 acc:83.75
Epoch:0159 train loss:0.015 acc:100.00 | val loss:0.534 acc:83.75
Epoch:0160 train loss:0.015 acc:100.00 | val loss:0.534 acc:83.75
Epoch:0161 train loss:0.015 acc:100.00 | val loss:0.534 acc:83.75
Epoch:0162 train loss:0.015 acc:100.00 | val loss:0.534 acc:83.75
Epoch:0163 train loss:0.015 acc:100.00 | val loss:0.534 acc:83.75
Epoch:0164 train loss:0.015 acc:100.00 | val loss:0.534 acc:83.75
Epoch:0165 train loss:0.015 acc:100.00 | val loss:0.534 acc:83.75
Epoch:0166 train loss:0.015 acc:100.00 | val loss:0.533 acc:83.75
Epoch:0167 train loss:0.015 acc:100.00 | val loss:0.533 acc:83.75
Epoch:0168 train loss:0.014 acc:100.00 | val loss:0.533 acc:83.75
Epoch:0169 train loss:0.014 acc:100.00 | val loss:0.533 acc:83.75
Epoch:0170 train loss:0.014 acc:100.00 | val loss:0.533 acc:83.75
Epoch:0171 train loss:0.014 acc:100.00 | val loss:0.533 acc:83.75
Epoch:0172 train loss:0.014 acc:100.00 | val loss:0.533 acc:83.75
Epoch:0173 train loss:0.014 acc:100.00 | val loss:0.533 acc:83.75
Epoch:0174 train loss:0.014 acc:100.00 | val loss:0.533 acc:83.75
Epoch:0175 train loss:0.014 acc:100.00 | val loss:0.533 acc:83.75
Epoch:0176 train loss:0.014 acc:100.00 | val loss:0.533 acc:83.75
Epoch:0177 train loss:0.014 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0178 train loss:0.014 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0179 train loss:0.014 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0180 train loss:0.013 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0181 train loss:0.013 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0182 train loss:0.013 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0183 train loss:0.013 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0184 train loss:0.013 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0185 train loss:0.013 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0186 train loss:0.013 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0187 train loss:0.013 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0188 train loss:0.013 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0189 train loss:0.013 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0190 train loss:0.013 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0191 train loss:0.013 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0192 train loss:0.013 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0193 train loss:0.012 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0194 train loss:0.012 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0195 train loss:0.012 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0196 train loss:0.012 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0197 train loss:0.012 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0198 train loss:0.012 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0199 train loss:0.012 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0200 train loss:0.012 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0201 train loss:0.012 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0202 train loss:0.012 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0203 train loss:0.012 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0204 train loss:0.012 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0205 train loss:0.012 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0206 train loss:0.012 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0207 train loss:0.012 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0208 train loss:0.012 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0209 train loss:0.012 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0210 train loss:0.011 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0211 train loss:0.011 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0212 train loss:0.011 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0213 train loss:0.011 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0214 train loss:0.011 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0215 train loss:0.011 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0216 train loss:0.011 acc:100.00 | val loss:0.530 acc:83.75
Epoch:0217 train loss:0.011 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0218 train loss:0.011 acc:100.00 | val loss:0.530 acc:83.75
Epoch:0219 train loss:0.011 acc:100.00 | val loss:0.533 acc:83.75
Epoch:0220 train loss:0.011 acc:100.00 | val loss:0.528 acc:83.75
Epoch:0221 train loss:0.011 acc:100.00 | val loss:0.535 acc:83.75
Epoch:0222 train loss:0.011 acc:100.00 | val loss:0.526 acc:85.00
Epoch:0223 train loss:0.011 acc:100.00 | val loss:0.540 acc:83.75
Epoch:0224 train loss:0.011 acc:100.00 | val loss:0.521 acc:85.00
Epoch:0225 train loss:0.011 acc:100.00 | val loss:0.549 acc:83.75
Epoch:0226 train loss:0.011 acc:100.00 | val loss:0.516 acc:86.25
Epoch:0227 train loss:0.011 acc:100.00 | val loss:0.551 acc:82.50
Epoch:0228 train loss:0.011 acc:100.00 | val loss:0.520 acc:86.25
Epoch:0229 train loss:0.010 acc:100.00 | val loss:0.529 acc:83.75
Epoch:0230 train loss:0.010 acc:100.00 | val loss:0.543 acc:83.75
Epoch:0231 train loss:0.010 acc:100.00 | val loss:0.519 acc:86.25
Epoch:0232 train loss:0.011 acc:100.00 | val loss:0.547 acc:83.75
Epoch:0233 train loss:0.011 acc:100.00 | val loss:0.524 acc:85.00
Epoch:0234 train loss:0.010 acc:100.00 | val loss:0.527 acc:85.00
Epoch:0235 train loss:0.010 acc:100.00 | val loss:0.542 acc:83.75
Epoch:0236 train loss:0.010 acc:100.00 | val loss:0.519 acc:86.25
Epoch:0237 train loss:0.010 acc:100.00 | val loss:0.537 acc:83.75
Epoch:0238 train loss:0.010 acc:100.00 | val loss:0.533 acc:83.75
Epoch:0239 train loss:0.010 acc:100.00 | val loss:0.523 acc:86.25
Epoch:0240 train loss:0.010 acc:100.00 | val loss:0.542 acc:83.75
Epoch:0241 train loss:0.010 acc:100.00 | val loss:0.525 acc:85.00
Epoch:0242 train loss:0.010 acc:100.00 | val loss:0.529 acc:83.75
Epoch:0243 train loss:0.010 acc:100.00 | val loss:0.538 acc:83.75
Epoch:0244 train loss:0.010 acc:100.00 | val loss:0.523 acc:85.00
Epoch:0245 train loss:0.010 acc:100.00 | val loss:0.536 acc:83.75
Epoch:0246 train loss:0.010 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0247 train loss:0.010 acc:100.00 | val loss:0.526 acc:85.00
Epoch:0248 train loss:0.010 acc:100.00 | val loss:0.538 acc:83.75
Epoch:0249 train loss:0.010 acc:100.00 | val loss:0.525 acc:85.00
Epoch:0250 train loss:0.010 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0251 train loss:0.010 acc:100.00 | val loss:0.534 acc:83.75
Epoch:0252 train loss:0.010 acc:100.00 | val loss:0.525 acc:85.00
Epoch:0253 train loss:0.010 acc:100.00 | val loss:0.536 acc:83.75
Epoch:0254 train loss:0.010 acc:100.00 | val loss:0.528 acc:83.75
Epoch:0255 train loss:0.009 acc:100.00 | val loss:0.529 acc:83.75
Epoch:0256 train loss:0.009 acc:100.00 | val loss:0.535 acc:83.75
Epoch:0257 train loss:0.009 acc:100.00 | val loss:0.526 acc:85.00
Epoch:0258 train loss:0.009 acc:100.00 | val loss:0.534 acc:83.75
Epoch:0259 train loss:0.009 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0260 train loss:0.009 acc:100.00 | val loss:0.528 acc:83.75
Epoch:0261 train loss:0.009 acc:100.00 | val loss:0.534 acc:83.75
Epoch:0262 train loss:0.009 acc:100.00 | val loss:0.527 acc:85.00
Epoch:0263 train loss:0.009 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0264 train loss:0.009 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0265 train loss:0.009 acc:100.00 | val loss:0.528 acc:83.75
Epoch:0266 train loss:0.009 acc:100.00 | val loss:0.534 acc:83.75
Epoch:0267 train loss:0.009 acc:100.00 | val loss:0.528 acc:83.75
Epoch:0268 train loss:0.009 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0269 train loss:0.009 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0270 train loss:0.009 acc:100.00 | val loss:0.529 acc:83.75
Epoch:0271 train loss:0.009 acc:100.00 | val loss:0.533 acc:83.75
Epoch:0272 train loss:0.009 acc:100.00 | val loss:0.528 acc:83.75
Epoch:0273 train loss:0.009 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0274 train loss:0.009 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0275 train loss:0.009 acc:100.00 | val loss:0.529 acc:83.75
Epoch:0276 train loss:0.009 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0277 train loss:0.009 acc:100.00 | val loss:0.529 acc:83.75
Epoch:0278 train loss:0.009 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0279 train loss:0.009 acc:100.00 | val loss:0.530 acc:83.75
Epoch:0280 train loss:0.009 acc:100.00 | val loss:0.530 acc:83.75
Epoch:0281 train loss:0.009 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0282 train loss:0.009 acc:100.00 | val loss:0.529 acc:83.75
Epoch:0283 train loss:0.009 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0284 train loss:0.009 acc:100.00 | val loss:0.529 acc:83.75
Epoch:0285 train loss:0.009 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0286 train loss:0.009 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0287 train loss:0.009 acc:100.00 | val loss:0.530 acc:83.75
Epoch:0288 train loss:0.009 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0289 train loss:0.009 acc:100.00 | val loss:0.529 acc:83.75
Epoch:0290 train loss:0.008 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0291 train loss:0.008 acc:100.00 | val loss:0.530 acc:83.75
Epoch:0292 train loss:0.008 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0293 train loss:0.008 acc:100.00 | val loss:0.530 acc:83.75
Epoch:0294 train loss:0.008 acc:100.00 | val loss:0.530 acc:83.75
Epoch:0295 train loss:0.008 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0296 train loss:0.008 acc:100.00 | val loss:0.529 acc:83.75
Epoch:0297 train loss:0.008 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0298 train loss:0.008 acc:100.00 | val loss:0.529 acc:83.75
Epoch:0299 train loss:0.008 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0300 train loss:0.008 acc:100.00 | val loss:0.530 acc:83.75
Epoch:0301 train loss:0.008 acc:100.00 | val loss:0.530 acc:83.75
Epoch:0302 train loss:0.008 acc:100.00 | val loss:0.530 acc:83.75
Epoch:0303 train loss:0.008 acc:100.00 | val loss:0.530 acc:83.75
Epoch:0304 train loss:0.008 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0305 train loss:0.008 acc:100.00 | val loss:0.530 acc:83.75
Epoch:0306 train loss:0.008 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0307 train loss:0.008 acc:100.00 | val loss:0.530 acc:83.75
Epoch:0308 train loss:0.008 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0309 train loss:0.008 acc:100.00 | val loss:0.529 acc:83.75
Epoch:0310 train loss:0.008 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0311 train loss:0.008 acc:100.00 | val loss:0.530 acc:83.75
Epoch:0312 train loss:0.008 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0313 train loss:0.008 acc:100.00 | val loss:0.529 acc:83.75
Epoch:0314 train loss:0.008 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0315 train loss:0.008 acc:100.00 | val loss:0.529 acc:83.75
Epoch:0316 train loss:0.008 acc:100.00 | val loss:0.531 acc:83.75
Epoch:0317 train loss:0.008 acc:100.00 | val loss:0.529 acc:83.75
Epoch:0318 train loss:0.008 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0319 train loss:0.008 acc:100.00 | val loss:0.529 acc:85.00
Epoch:0320 train loss:0.008 acc:100.00 | val loss:0.532 acc:83.75
Epoch:0321 train loss:0.008 acc:100.00 | val loss:0.528 acc:85.00
Epoch:0322 train loss:0.008 acc:100.00 | val loss:0.533 acc:83.75
Epoch:0323 train loss:0.008 acc:100.00 | val loss:0.527 acc:85.00
Epoch:0324 train loss:0.008 acc:100.00 | val loss:0.535 acc:83.75
Epoch:0325 train loss:0.008 acc:100.00 | val loss:0.524 acc:85.00
Epoch:0326 train loss:0.008 acc:100.00 | val loss:0.539 acc:83.75
9 : 92.16
Train cost: 299.7257s
Test acc.:86.47
Test std.:3.87

TE

full-supervised.py --data wisconsin --layer 5 --weight_decay 6e-4 --model GGCN --hidden 16 --dropout 0
Epoch:0001 train loss:1.594 acc:41.67 | val loss:1.552 acc:42.50
Epoch:0002 train loss:1.560 acc:49.17 | val loss:1.520 acc:30.00
Epoch:0003 train loss:1.525 acc:40.00 | val loss:1.488 acc:28.75
Epoch:0004 train loss:1.489 acc:35.83 | val loss:1.458 acc:26.25
Epoch:0005 train loss:1.453 acc:34.17 | val loss:1.431 acc:27.50
Epoch:0006 train loss:1.419 acc:35.83 | val loss:1.409 acc:30.00
Epoch:0007 train loss:1.389 acc:40.00 | val loss:1.392 acc:36.25
Epoch:0008 train loss:1.363 acc:46.67 | val loss:1.381 acc:46.25
Epoch:0009 train loss:1.342 acc:52.50 | val loss:1.373 acc:53.75
Epoch:0010 train loss:1.324 acc:59.17 | val loss:1.365 acc:63.75
Epoch:0011 train loss:1.308 acc:68.33 | val loss:1.356 acc:65.00
Epoch:0012 train loss:1.292 acc:68.33 | val loss:1.346 acc:57.50
Epoch:0013 train loss:1.276 acc:62.50 | val loss:1.334 acc:56.25
Epoch:0014 train loss:1.258 acc:54.17 | val loss:1.321 acc:56.25
Epoch:0015 train loss:1.240 acc:50.00 | val loss:1.307 acc:56.25
Epoch:0016 train loss:1.220 acc:52.50 | val loss:1.292 acc:56.25
Epoch:0017 train loss:1.200 acc:57.50 | val loss:1.277 acc:58.75
Epoch:0018 train loss:1.179 acc:61.67 | val loss:1.260 acc:61.25
Epoch:0019 train loss:1.158 acc:68.33 | val loss:1.242 acc:65.00
Epoch:0020 train loss:1.136 acc:70.83 | val loss:1.223 acc:68.75
Epoch:0021 train loss:1.113 acc:69.17 | val loss:1.203 acc:68.75
Epoch:0022 train loss:1.088 acc:71.67 | val loss:1.181 acc:71.25
Epoch:0023 train loss:1.062 acc:71.67 | val loss:1.157 acc:71.25
Epoch:0024 train loss:1.034 acc:71.67 | val loss:1.131 acc:71.25
Epoch:0025 train loss:1.004 acc:71.67 | val loss:1.104 acc:71.25
Epoch:0026 train loss:0.971 acc:71.67 | val loss:1.075 acc:71.25
Epoch:0027 train loss:0.937 acc:72.50 | val loss:1.045 acc:71.25
Epoch:0028 train loss:0.900 acc:74.17 | val loss:1.014 acc:71.25
Epoch:0029 train loss:0.862 acc:76.67 | val loss:0.982 acc:71.25
Epoch:0030 train loss:0.822 acc:78.33 | val loss:0.950 acc:71.25
Epoch:0031 train loss:0.781 acc:80.83 | val loss:0.919 acc:71.25
Epoch:0032 train loss:0.739 acc:84.17 | val loss:0.888 acc:72.50
Epoch:0033 train loss:0.697 acc:85.83 | val loss:0.857 acc:75.00
Epoch:0034 train loss:0.655 acc:88.33 | val loss:0.828 acc:76.25
Epoch:0035 train loss:0.614 acc:88.33 | val loss:0.799 acc:77.50
Epoch:0036 train loss:0.574 acc:89.17 | val loss:0.771 acc:77.50
Epoch:0037 train loss:0.536 acc:90.00 | val loss:0.744 acc:76.25
Epoch:0038 train loss:0.499 acc:90.83 | val loss:0.718 acc:77.50
Epoch:0039 train loss:0.464 acc:90.83 | val loss:0.694 acc:77.50
Epoch:0040 train loss:0.431 acc:90.83 | val loss:0.670 acc:77.50
Epoch:0041 train loss:0.400 acc:93.33 | val loss:0.648 acc:76.25
Epoch:0042 train loss:0.371 acc:95.00 | val loss:0.629 acc:78.75
Epoch:0043 train loss:0.345 acc:95.00 | val loss:0.610 acc:78.75
Epoch:0044 train loss:0.320 acc:95.83 | val loss:0.594 acc:81.25
Epoch:0045 train loss:0.296 acc:96.67 | val loss:0.580 acc:81.25
Epoch:0046 train loss:0.275 acc:96.67 | val loss:0.567 acc:81.25
Epoch:0047 train loss:0.255 acc:96.67 | val loss:0.555 acc:81.25
Epoch:0048 train loss:0.237 acc:96.67 | val loss:0.543 acc:82.50
Epoch:0049 train loss:0.220 acc:96.67 | val loss:0.532 acc:82.50
Epoch:0050 train loss:0.205 acc:96.67 | val loss:0.522 acc:83.75
Epoch:0051 train loss:0.190 acc:96.67 | val loss:0.512 acc:82.50
Epoch:0052 train loss:0.177 acc:96.67 | val loss:0.503 acc:82.50
Epoch:0053 train loss:0.165 acc:96.67 | val loss:0.495 acc:82.50
Epoch:0054 train loss:0.154 acc:99.17 | val loss:0.489 acc:81.25
Epoch:0055 train loss:0.144 acc:99.17 | val loss:0.482 acc:81.25
Epoch:0056 train loss:0.135 acc:99.17 | val loss:0.476 acc:82.50
Epoch:0057 train loss:0.127 acc:99.17 | val loss:0.471 acc:82.50
Epoch:0058 train loss:0.119 acc:100.00 | val loss:0.467 acc:82.50
Epoch:0059 train loss:0.112 acc:100.00 | val loss:0.463 acc:82.50
Epoch:0060 train loss:0.105 acc:100.00 | val loss:0.460 acc:82.50
Epoch:0061 train loss:0.100 acc:100.00 | val loss:0.457 acc:82.50
Epoch:0062 train loss:0.094 acc:100.00 | val loss:0.453 acc:82.50
Epoch:0063 train loss:0.089 acc:100.00 | val loss:0.451 acc:82.50
Epoch:0064 train loss:0.085 acc:100.00 | val loss:0.449 acc:82.50
Epoch:0065 train loss:0.080 acc:100.00 | val loss:0.448 acc:82.50
Epoch:0066 train loss:0.077 acc:100.00 | val loss:0.446 acc:82.50
Epoch:0067 train loss:0.073 acc:100.00 | val loss:0.443 acc:82.50
Epoch:0068 train loss:0.070 acc:100.00 | val loss:0.441 acc:82.50
Epoch:0069 train loss:0.067 acc:100.00 | val loss:0.439 acc:82.50
Epoch:0070 train loss:0.064 acc:100.00 | val loss:0.437 acc:83.75
Epoch:0071 train loss:0.062 acc:100.00 | val loss:0.435 acc:83.75
Epoch:0072 train loss:0.059 acc:100.00 | val loss:0.433 acc:83.75
Epoch:0073 train loss:0.057 acc:100.00 | val loss:0.431 acc:83.75
Epoch:0074 train loss:0.055 acc:100.00 | val loss:0.429 acc:85.00
Epoch:0075 train loss:0.053 acc:100.00 | val loss:0.427 acc:85.00
Epoch:0076 train loss:0.052 acc:100.00 | val loss:0.426 acc:85.00
Epoch:0077 train loss:0.050 acc:100.00 | val loss:0.424 acc:85.00
Epoch:0078 train loss:0.048 acc:100.00 | val loss:0.422 acc:85.00
Epoch:0079 train loss:0.047 acc:100.00 | val loss:0.420 acc:85.00
Epoch:0080 train loss:0.045 acc:100.00 | val loss:0.419 acc:85.00
Epoch:0081 train loss:0.044 acc:100.00 | val loss:0.417 acc:85.00
Epoch:0082 train loss:0.043 acc:100.00 | val loss:0.416 acc:85.00
Epoch:0083 train loss:0.042 acc:100.00 | val loss:0.415 acc:85.00
Epoch:0084 train loss:0.041 acc:100.00 | val loss:0.413 acc:86.25
Epoch:0085 train loss:0.040 acc:100.00 | val loss:0.412 acc:86.25
Epoch:0086 train loss:0.039 acc:100.00 | val loss:0.411 acc:86.25
Epoch:0087 train loss:0.038 acc:100.00 | val loss:0.409 acc:86.25
Epoch:0088 train loss:0.037 acc:100.00 | val loss:0.408 acc:86.25
Epoch:0089 train loss:0.036 acc:100.00 | val loss:0.407 acc:86.25
Epoch:0090 train loss:0.035 acc:100.00 | val loss:0.407 acc:86.25
Epoch:0091 train loss:0.034 acc:100.00 | val loss:0.405 acc:86.25
Epoch:0092 train loss:0.034 acc:100.00 | val loss:0.404 acc:86.25
Epoch:0093 train loss:0.033 acc:100.00 | val loss:0.403 acc:86.25
Epoch:0094 train loss:0.032 acc:100.00 | val loss:0.403 acc:86.25
Epoch:0095 train loss:0.032 acc:100.00 | val loss:0.403 acc:86.25
Epoch:0096 train loss:0.031 acc:100.00 | val loss:0.401 acc:86.25
Epoch:0097 train loss:0.031 acc:100.00 | val loss:0.401 acc:86.25
Epoch:0098 train loss:0.030 acc:100.00 | val loss:0.401 acc:86.25
Epoch:0099 train loss:0.030 acc:100.00 | val loss:0.400 acc:87.50
Epoch:0100 train loss:0.029 acc:100.00 | val loss:0.400 acc:87.50
Epoch:0101 train loss:0.029 acc:100.00 | val loss:0.399 acc:87.50
Epoch:0102 train loss:0.028 acc:100.00 | val loss:0.399 acc:87.50
Epoch:0103 train loss:0.028 acc:100.00 | val loss:0.399 acc:87.50
Epoch:0104 train loss:0.027 acc:100.00 | val loss:0.398 acc:87.50
Epoch:0105 train loss:0.027 acc:100.00 | val loss:0.399 acc:87.50
Epoch:0106 train loss:0.027 acc:100.00 | val loss:0.398 acc:86.25
Epoch:0107 train loss:0.026 acc:100.00 | val loss:0.398 acc:86.25
Epoch:0108 train loss:0.026 acc:100.00 | val loss:0.398 acc:86.25
Epoch:0109 train loss:0.025 acc:100.00 | val loss:0.398 acc:86.25
Epoch:0110 train loss:0.025 acc:100.00 | val loss:0.398 acc:86.25
Epoch:0111 train loss:0.025 acc:100.00 | val loss:0.397 acc:86.25
Epoch:0112 train loss:0.024 acc:100.00 | val loss:0.397 acc:86.25
Epoch:0113 train loss:0.024 acc:100.00 | val loss:0.397 acc:86.25
Epoch:0114 train loss:0.024 acc:100.00 | val loss:0.397 acc:86.25
Epoch:0115 train loss:0.024 acc:100.00 | val loss:0.396 acc:86.25
Epoch:0116 train loss:0.023 acc:100.00 | val loss:0.396 acc:86.25
Epoch:0117 train loss:0.023 acc:100.00 | val loss:0.396 acc:86.25
Epoch:0118 train loss:0.023 acc:100.00 | val loss:0.396 acc:86.25
Epoch:0119 train loss:0.022 acc:100.00 | val loss:0.396 acc:86.25
Epoch:0120 train loss:0.022 acc:100.00 | val loss:0.396 acc:86.25
Epoch:0121 train loss:0.022 acc:100.00 | val loss:0.396 acc:86.25
Epoch:0122 train loss:0.022 acc:100.00 | val loss:0.395 acc:86.25
Epoch:0123 train loss:0.021 acc:100.00 | val loss:0.395 acc:86.25
Epoch:0124 train loss:0.021 acc:100.00 | val loss:0.395 acc:86.25
Epoch:0125 train loss:0.021 acc:100.00 | val loss:0.395 acc:86.25
Epoch:0126 train loss:0.021 acc:100.00 | val loss:0.395 acc:86.25
Epoch:0127 train loss:0.021 acc:100.00 | val loss:0.394 acc:86.25
Epoch:0128 train loss:0.020 acc:100.00 | val loss:0.394 acc:86.25
Epoch:0129 train loss:0.020 acc:100.00 | val loss:0.394 acc:86.25
Epoch:0130 train loss:0.020 acc:100.00 | val loss:0.394 acc:86.25
Epoch:0131 train loss:0.020 acc:100.00 | val loss:0.394 acc:86.25
Epoch:0132 train loss:0.020 acc:100.00 | val loss:0.393 acc:86.25
Epoch:0133 train loss:0.019 acc:100.00 | val loss:0.393 acc:86.25
Epoch:0134 train loss:0.019 acc:100.00 | val loss:0.393 acc:86.25
Epoch:0135 train loss:0.019 acc:100.00 | val loss:0.393 acc:86.25
Epoch:0136 train loss:0.019 acc:100.00 | val loss:0.392 acc:86.25
Epoch:0137 train loss:0.019 acc:100.00 | val loss:0.392 acc:86.25
Epoch:0138 train loss:0.019 acc:100.00 | val loss:0.392 acc:86.25
Epoch:0139 train loss:0.018 acc:100.00 | val loss:0.392 acc:86.25
Epoch:0140 train loss:0.018 acc:100.00 | val loss:0.392 acc:86.25
Epoch:0141 train loss:0.018 acc:100.00 | val loss:0.392 acc:86.25
